"food_facts_id","food_name","public_food_key","calcium","carbohydrates","classification","energy","fat_total","iodine","magnesium","potassium","protein","saturated_fat","sodium","total_dietary_fibre","total_sugars","creation_ts","last_modified_ts"
1469,"Nut, cashew, raw, unsalted","F006088","34","22.9","22204","2540","49.2","0","250","550","17","8.37","11","5.9","5.5","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1470,"Nut, cashew, roasted, salted","F006090","34","26.7","22204","2554","48.5","2.8","240","630","17","9","270","3","6.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1471,"Nut, cashew, roasted, unsalted","F006092","42","26.8","22204","2530","47.7","2.4","260","610","17","8.16","7","3.4","6.5","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1472,"Nut, chestnut, raw, unsalted","F006095","18","32.1","22204","727","0.2","12","30","468","3.4","0.04","1","14.9","3.3","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1473,"Nut, chestnut, roasted, unsalted","F006096","13","34.3","22204","724","0.6","11","33","574","3.4","0.12","1","8.1","3.8","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1474,"Nut, hazelnut, raw, unsalted","F006098","86","5.1","22204","2689","61.4","0","160","680","14.8","2.7","3","10.4","4.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1475,"Nut, macadamia, raw, unsalted","F006099","48","4.5","22204","3018","74","0","95","410","9.2","10.04","1","6.4","4.5","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1476,"Nut, peanut, with skin, raw, unsalted","F006107","54","8.9","22201","2376","47.1","0","160","540","24.7","8.19","1","8.2","5.1","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1477,"Nut, peanut, with skin, roasted, with oil, salted","F006108","50","14.4","22201","2635","51.7","0","180","670","24.4","8.98","380","8.3","4.7","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1478,"Nut, peanut, without skin, roasted, with oil, salted","F006109","40","14.1","22201","2667","52.8","0","130","620","25.1","9.18","335","6.2","4.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1479,"Nut, peanut, without skin, roasted, with oil, unsalted","F006110","40","14.1","22201","2667","52.8","0","130","620","25.1","9.18","1","6.2","4.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1480,"Nut, pecan, raw, unsalted","F006111","51","4.9","22204","2973","71.9","0","110","500","9.8","4.54","3","8.4","4.3","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1481,"Nut, pine, raw, unsalted","F006112","11","4.5","22204","2925","70","0","230","600","13","4.22","3","5.1","3.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1482,"Nut, pistachio, raw, unsalted","F006113","90","15.8","22204","2542","50.6","0","100","950","19.7","5.8","7","9","5.9","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1483,"Nut, walnut, raw, unsalted","F006116","89","3","22204","2904","69.2","0","150","440","14.4","4.43","3","6.4","2.7","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1484,"Nutmeg, dried, ground","F006118","184","28.5","31302","2090","36.3","0","183","350","5.8","30.51","16","20.8","3","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1485,"Oat beverage, fluid, added calcium","F006131","110","10.2","20106","224","0.8","1.2","6","47","1.3","0.16","38","0.3","3.1","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1486,"Oat beverage, fluid, unfortified","F006132","18","10.2","20106","224","0.8","1.2","6","47","1.3","0.16","38","0.3","3.1","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1487,"Oats, hulled, uncooked","F006136","37","55.5","12101","1589","9.8","74","117","310","12.5","1.79","4","8.6","1.2","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1488,"Oats, rolled, mixed with sugar or honey & other flavours, uncooked","F006141","47","69.1","12601","1629","7.5","78","77","240","8.3","1.16","8","7.5","24","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1489,"Oats, rolled, uncooked","F006143","40","49.9","12101","1486","9.5","74","104","310","12.2","1.73","2","9.5","1","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1490,"Octopus, boiled, no added fat","F006146","59","0","15202","324","1.2","16.7","30","311","16.6","0.25","204","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1491,"Octopus, raw","F006150","53","0","15202","292","1","20","30","350","14.9","0.22","230","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1492,"Oil, almond","F006154","0","0","14402","3700","100","0","0","0","0","6.02","0","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1493,"Oil, blend of monounsaturated vegetable oils","F006155","0","0","14402","3700","100","0","0","0","0","6.88","0","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1494,"Oil, blend of polyunsaturated vegetable oils","F006156","0","0","14401","3700","100","0","0","0","0","14.15","0","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1495,"Oil, canola","F006159","1","0","14402","3700","100","0","0","0","0","7.3","0","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1496,"Oil, copha","F006165","0","0","14502","3700","99.9","0","0","1","0.2","92.41","1","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1497,"Oil, cottonseed","F006166","0","0","14401","3700","100","0","0","0","0","25.9","0","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1498,"Oil, grapeseed","F006167","0","0","14401","3700","100","0","0","0","0","11.38","0","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1499,"Oil, linseed or flaxseed","F006168","1","0","14401","3699","100","0","0","0","0","9","0","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1500,"Oil, macadamia","F006169","0","0","14402","3700","100","0","0","0","0","13.58","0","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1501,"Oil, mustard seed","F006172","0","0","14402","3700","100","0","0","0","0","12.04","0","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1502,"Oil, olive","F006177","0","0","14402","3695","99.9","0","0","0","0","15.52","0","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1503,"Oil, palm","F006181","0","0","14402","3700","100","0","0","0","0","49.3","0","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1504,"Oil, peanut","F006183","0","0","14402","3700","100","0","1","0","0","17.36","0","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1505,"Oil, rice bran","F006185","0","0","14402","3700","100","0","0","0","0","22.94","0","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1506,"Oil, soybean","F006188","0","0","14401","3700","100","0","0","0","0","14.29","0","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1507,"Oil, sunflower","F006189","0","0","14401","3700","100","0","0","0","0","10.16","0","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1508,"Oil, vegetable","F006191","0","0","14401","3700","100","0","0","0","0","10.52","0","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1509,"Okra, cooked, no added fat","F006194","84","1.5","24705","120","0.2","0.6","49","271","3.3","0.06","2","4","1.5","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1510,"Okra, raw","F006195","82","1.4","24705","112","0.2","0.6","48","280","3.1","0.06","2","3.7","1.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1511,"Olive, green or black, drained","F006198","52","1.8","23202","862","20.5","3.9","16","66","2.4","2.59","1450","2.3","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1512,"Onion, mature, brown skinned, peeled, fresh, fried, no added fat","F006224","37","9.4","24802","224","0","0.4","20","290","2.1","0","12","4.4","9.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1513,"Onion, mature, brown skinned, peeled, raw","F006225","23","5.8","24802","139","0","0.3","12","180","1.3","0","8","2.7","5.8","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1514,"Onion, mature, red skinned, fried, no added fat","F009820","31","8.9","24802","183","0","0","18","226","1.2","0","8","2.2","8.9","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1515,"Onion, mature, red skinned, raw","F009800","19","5.5","24802","113","0","0","11","140","0.8","0","5","1.4","5.5","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1516,"Onion, mature, white skinned, peeled, fresh, fried, no added fat","F006242","41","7.5","24802","203","0.2","0.8","19","267","2.7","0","21","3.3","7.5","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1517,"Onion, mature, white skinned, peeled, fresh, raw","F006243","26","4.7","24802","128","0.1","0.5","12","168","1.7","0","13","2.1","4.7","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1518,"Onion, spring, fresh, fried, no added fat","F006249","35","7.4","24802","204","0.3","0.8","18","226","2.7","0","21","3.1","7.2","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1519,"Onion, spring, fresh, raw","F006250","22","4.6","24802","127","0.2","0.5","11","140","1.7","0","13","1.9","4.5","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1520,"Orange, navel, peeled, raw","F006276","23","8.2","16301","174","0","0","12","190","1","0","0","2.4","8.2","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1521,"Orange, peeled, raw","F006277","23","8.2","16301","175","0","0","12","190","1","0","0","2.4","8.2","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1522,"Orange, valencia, peeled, raw","F006279","23","8.2","16301","175","0","0.1","12","190","1","0","0","2.4","8.2","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1523,"Oregano, dried","F006281","1597","26.4","31302","1096","4.3","0","270","1260","9","1.46","25","42.5","4.1","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1524,"Ostrich, fan fillet, raw","F006282","3","0","18303","424","0.7","0","26","308","23.4","0.22","53","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1525,"Ostrich, moon steak, raw","F006283","3","0","18303","455","1.4","0","26","315","23.7","0.46","52","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1526,"Oyster, aquacultured, raw","F006285","190","0.6","15202","268","2.3","183.8","78","225","10.1","0.5","535","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1527,"Oyster, native, aquacultured, raw","F006288","139","0.6","15202","191","1.5","161.8","78","190","7.3","0.36","585","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1528,"Oyster, Pacific, aquacultured, raw","F006289","229","0.6","15202","279","2.2","202","80","231","10.8","0.49","541","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1529,"Oyster, Sydney rock, aquacultured, raw","F006291","148","0.6","15202","298","2.9","162.1","74","235","10.6","0.63","491","0","0","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1530,"Pancake, plain, homemade","F006298","83","30.3","13601","927","7.6","24.1","21","174","7.4","4.5","79","0.8","4.2","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1531,"Paprika, dry powder","F006316","229","19.1","31302","1311","12.9","0","178","2280","14.1","1.9","68","34.9","10.3","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1532,"Parsley, continental, fresh, raw","F006321","120","1.1","24403","150","0.7","15.3","43","660","3.9","0","150","5","1","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1533,"Parsley, curly, fresh, raw","F006322","200","0.4","24403","96","0.2","6.6","33","850","1.9","0","48","5.8","0.4","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1534,"Parsnip, peeled, fresh, baked, no added fat","F006326","46","12.2","24302","289","0.2","0","29","512","2.2","0","23","4.4","5.8","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
1535,"Parsnip, peeled, fresh, boiled, drained","F006327","39","10.8","24302","255","0.2","0","24","406","1.9","0","19","3.9","5.2","2023-06-22 19:23:13.781667","2023-06-22 19:23:13.781667"
