publicFoodKey,classification,foodName,energy,protein,fatTotal,totalDietaryFibre,totalSugars,carbohydrates,calcium,iodine,magnesium,potassium,sodium,saturatedFat
F008811,24702,"Squash, button, fresh, raw",110,2.7,0.2,0.5,2.9,3.2,6,0.0,12,140,1,0.00
F008812,24702,"Squash, scallopini, fresh, boiled, drained",100,2.6,0.2,0.6,2.4,2.5,21,0.0,11,193,10,0.00
F008813,24702,"Squash, scallopini, fresh, raw",84,2.2,0.2,0.5,2.0,2.1,19,0.0,10,180,9,0.00
F008825,15202,"Squid or calamari, fried, no added fat",410,20.9,1.5,0.0,0.0,0.0,14,23.8,45,195,355,0.39
F008828,15202,"Squid or calamari, raw",328,16.7,1.2,0.0,0.0,0.0,11,20.0,36,156,284,0.31
F008831,24102,"Starch, potato",1332,0.0,0.5,5.9,0.0,74.5,14,0.0,5,43,9,0.18
F009452,18606,"Steak & vegetables, canned",258,4.4,1.9,1.2,1.8,6.2,12,6.8,11,200,320,0.91
F008933,31303,"Stock, dry powder or cube",900,11.3,8.9,0.0,4.3,22.5,71,44.0,25,250,18400,4.38
F008945,16202,"Strawberry, canned in syrup",335,0.4,0.2,1.5,18.7,18.9,14,0.0,6,93,8,0.00
F008946,16202,"Strawberry, canned in syrup, drained",353,0.9,0.1,3.5,18.5,18.7,19,0.0,7,90,10,0.00
F008947,16202,"Strawberry, canned in syrup, syrup only",321,0.1,0.2,0.0,18.8,19.0,11,0.0,6,95,7,0.00
F008951,16201,"Strawberry, purchased frozen",108,0.7,0.2,2.5,3.8,3.9,21,0.0,8,166,0,0.00
F008952,16201,"Strawberry, raw",108,0.7,0.2,2.5,3.8,3.9,22,0.0,8,185,0,0.00
F008969,27101,"Sugar, brown",1552,0.2,0.0,0.0,96.8,96.8,150,0.0,21,300,21,0.00
F008973,27101,"Sugar, raw",1597,0.0,0.0,0.0,99.8,99.8,7,0.0,3,21,1,0.00
F008976,27101,"Sugar, white, granulated or lump",1600,0.0,0.0,0.0,100.0,100.0,1,0.0,0,2,0,0.00
F008980,27101,"Sugar, white, icing",1600,0.0,0.0,0.0,100.0,100.0,1,0.0,0,2,0,0.00
F008981,27101,"Sugar, white, icing mixture",1598,0.0,0.0,0.0,95.6,99.6,1,0.0,0,2,0,0.00
F008983,16801,Sultana,1295,2.6,0.3,3.3,73.2,75.0,52,1.2,35,955,7,0.00
F009020,24302,"Swede, peeled, fresh, boiled, drained",100,1.0,0.0,2.4,3.6,4.0,22,0.0,11,300,12,0.00
F009021,24302,"Swede, peeled, fresh, raw",93,0.9,0.0,2.2,3.4,3.7,22,0.0,11,310,12,0.00
F009033,24302,"Sweet potato, orange flesh, peeled, fresh, baked, no added fat",357,2.3,0.1,3.1,6.8,17.2,33,0.0,17,305,12,0.00
F009034,24302,"Sweet potato, orange flesh, peeled, fresh, boiled, drained",315,2.0,0.1,2.7,6.0,15.2,28,0.0,14,242,10,0.00
F009035,24302,"Sweet potato, orange flesh, peeled, fresh, raw",293,1.9,0.1,2.6,5.6,14.1,27,0.0,14,250,10,0.00
F009049,27102,"Syrup, golden",1203,0.2,0.0,0.0,74.9,74.9,230,0.0,37,610,130,0.00
F009052,27102,"Syrup, maple, pure",1082,0.0,0.1,0.0,60.4,67.0,102,0.0,21,212,12,0.01
F009072,31303,"Taco seasoning mix, chilli-based",1010,5.9,4.1,9.9,19.2,39.7,240,6.0,76,700,9350,1.09
F009073,26201,"Taco shell, from corn flour, plain",1948,6.8,21.8,7.3,1.1,56.3,52,3.4,80,210,80,1.81
F009076,22102,"Tahini, sesame seed pulp",2717,20.4,60.7,13.5,0.7,1.0,330,0.0,320,190,79,7.54
F009080,16503,"Tamarillo, peeled, raw",150,2.0,0.1,4.7,3.4,3.4,8,0.1,16,280,1,0.00
F009081,16804,"Tamarind, paste, pure",1048,2.8,0.6,5.1,38.8,57.4,74,0.0,92,628,28,0.26
F009087,16303,"Tangelo, peeled, raw",172,0.6,0.1,2.0,7.8,7.8,22,0.0,10,140,4,0.00
F009088,16303,"Tangerine or tangor, peeled, raw",180,1.0,0.2,1.5,8.1,8.1,26,0.0,9,150,2,0.00
F009089,12103,"Tapioca, pearl or seed style, boiled, no added fat or salt",197,0.0,0.0,0.0,0.0,11.5,4,2.6,2,4,3,0.01
F009090,12103,"Tapioca, pearl or seed style, uncooked",1359,0.2,0.2,0.0,0.0,79.3,16,14.0,4,23,1,0.08
F009093,24302,"Taro, peeled, fresh, boiled, drained",504,2.0,0.2,3.8,1.2,25.2,12,0.6,20,290,6,0.00
F009094,24302,"Taro, peeled, fresh, raw",469,1.9,0.2,3.5,1.1,23.4,12,0.7,20,300,6,0.00
F009102,13403,"Tart, custard, commercial",1014,6.3,10.7,1.0,11.4,30.2,74,10.7,14,88,270,5.17
F009115,11103,"Tea, decaffeinated, black, brewed from leaf or teabags, without milk",6,0.1,0.1,0.0,0.0,0.0,0,0.0,0,6,0,0.00
F009117,11101,"Tea, green, plain, without milk",7,0.2,0.1,0.0,0.0,0.0,3,0.0,2,19,1,0.00
F009125,11101,"Tea, regular, black, brewed from leaf or teabags, without milk",1,0.1,0.0,0.0,0.0,0.0,1,0.0,1,17,0,0.00
F009160,31302,"Thyme, dried, ground",1182,9.1,7.4,37.0,1.7,26.9,1890,2.3,220,814,55,3.70
F009161,15101,"Tilapia, fillet, baked, no added fat",654,25.3,6.0,0.0,0.0,0.0,25,39.0,42,475,115,1.88
F009163,15101,"Tilapia, fillet, raw",477,18.5,4.4,0.0,0.0,0.0,18,30.0,31,347,84,1.37
F009164,15101,"Tilapia, fillet, steamed, no added fat",568,22.0,5.2,0.0,0.0,0.0,22,28.6,33,351,85,1.63
F009176,20601,"Tofu (soy bean curd), firm, as purchased",543,12.8,8.3,1.0,0.0,0.0,206,2.3,99,150,22,1.16
F009190,24601,"Tomato, cherry, raw",90,0.9,0.0,1.7,3.5,3.5,14,0.0,14,260,6,0.00
F009193,24601,"Tomato, common, raw",73,0.6,0.0,1.1,2.5,3.0,11,0.0,10,210,4,0.00
F009206,24602,"Tomato, paste, no added salt",266,3.4,0.5,3.6,9.6,10.1,28,0.5,38,867,36,0.00
F009208,24602,"Tomato, paste, with added salt",277,3.1,0.3,3.5,9.9,10.4,28,4.7,38,960,630,0.00
F009209,24602,"Tomato, puree, commercial",98,1.2,0.1,1.5,3.8,3.8,22,1.1,11,204,249,0.00
F009211,24601,"Tomato, roma, raw",74,1.0,0.1,1.2,2.3,2.4,9,0.1,7,214,8,0.00
F009217,24602,"Tomato, sundried",1101,11.2,4.6,14.7,33.9,35.2,100,1.6,150,3170,73,0.51
F009221,24602,"Tomato, whole, canned in tomato juice, drained",88,0.8,0.3,1.3,3.0,3.0,27,0.0,9,170,86,0.00
F009222,24602,"Tomato, whole, canned in tomato juice, undrained",79,0.9,0.0,1.0,3.0,3.0,20,0.6,11,219,52,0.01
F009260,12101,"Triticale, grain, uncooked",1361,9.6,2.4,14.4,1.8,58.3,27,3.0,114,332,5,0.29
F009267,15101,"Trout, ocean, aquacultured, fillet, without skin, baked, no added fat",1651,23.8,33.7,0.0,0.0,0.0,100,18.9,44,399,338,8.55
F009268,15101,"Trout, ocean, aquacultured, fillet, without skin, raw",1205,17.4,24.6,0.0,0.0,0.0,73,14.5,32,291,247,6.24
F009269,15101,"Trout, ocean, aquacultured, fillet, without skin, steamed, no added fat",1435,20.7,29.3,0.0,0.0,0.0,87,13.8,34,295,250,7.43
F009270,15101,"Trout, rainbow, aquacultured, baked, no added fat",883,26.8,11.6,0.0,0.0,0.0,66,0.0,39,502,96,3.44
F009271,15101,"Trout, rainbow, aquacultured, raw",645,19.6,8.4,0.0,0.0,0.0,48,0.0,28,366,70,2.51
F009273,15101,"Trout, rainbow, aquacultured, steamed, no added fat",767,23.3,10.0,0.0,0.0,0.0,57,0.0,30,371,71,2.99
F009285,15401,"Tuna, canned in brine, drained",540,26.1,2.6,0.0,0.0,0.0,5,10.2,24,205,200,1.03
F009293,15401,"Tuna, flavoured, canned in oil, drained",577,18.0,5.8,0.3,2.5,3.3,13,12.0,27,250,430,1.12
F009302,15101,"Tuna, yellowfin, flesh, baked, no added fat",596,32.0,1.4,0.0,0.0,0.0,22,36.4,68,608,51,0.33
F009303,15101,"Tuna, yellowfin, flesh, raw",435,23.4,1.0,0.0,0.0,0.0,16,28.0,50,444,37,0.24
F009304,15101,"Tuna, yellowfin, flesh, steamed, no added fat",518,27.8,1.2,0.0,0.0,0.0,19,26.7,54,449,37,0.28
F009306,18302,"Turkey, breast, lean flesh, baked, no added fat",648,29.4,4.0,0.0,0.0,0.0,8,1.3,26,330,210,1.08
F009307,18302,"Turkey, breast, lean flesh, raw",490,21.6,3.3,0.0,0.0,0.0,7,1.3,25,370,240,0.89
F009308,18302,"Turkey, breast, lean flesh, skin & fat, baked, no added fat",809,27.7,9.2,0.0,0.0,0.0,8,1.3,24,317,199,2.56
F009309,18302,"Turkey, breast, lean flesh, skin & fat, raw",663,20.4,8.5,0.0,0.0,0.0,7,0.3,23,336,217,2.39
F009319,18302,"Turkey, hindquarter, lean flesh, baked, no added fat",714,26.8,7.0,0.0,0.0,0.0,9,2.1,21,320,170,2.41
F009320,18302,"Turkey, hindquarter, lean flesh, raw",510,18.4,5.3,0.0,0.0,0.0,7,3.1,20,310,260,1.82
F009321,18302,"Turkey, hindquarter, lean flesh, skin & fat, baked, no added fat",911,25.6,12.9,0.0,0.0,0.0,10,2.1,20,304,165,4.40
F009322,18302,"Turkey, hindquarter, lean flesh, skin & fat, raw",782,18.6,12.6,0.0,0.0,0.0,10,3.1,19,293,237,4.30
F009335,31302,"Turmeric, dried, ground",1219,9.7,3.2,22.7,3.2,44.4,168,2.3,208,2080,27,1.88
F009339,24302,"Turnip, white, peeled, fresh, boiled, no added fat",101,1.4,0.0,1.8,3.4,3.6,21,0.4,8,310,24,0.00
F009340,24302,"Turnip, white, peeled, fresh, raw",94,1.3,0.0,1.7,3.2,3.4,21,0.4,8,320,24,0.00
F009350,31401,Vanilla bean extract,1203,0.1,0.1,0.0,12.6,12.6,11,0.2,12,148,9,0.02
F009351,31401,"Vanilla, artificial or imitation",231,0.0,0.0,0.0,14.4,14.4,3,0.2,1,0,3,0.00
F009359,18104,"Veal, all cuts, separable fat, cooked",1573,20.7,33.0,0.0,0.0,0.0,7,0.0,11,160,32,17.04
F009360,18104,"Veal, all cuts, separable fat, raw",1403,19.4,29.0,0.0,0.0,0.0,14,0.0,11,160,25,13.99
F009361,18104,"Veal, boneless dice or strips, lean, raw",492,25.2,1.8,0.0,0.0,0.0,6,0.3,25,375,51,0.61
F009362,18104,"Veal, boneless dice or strips, lean, stir-fried, no added fat",633,31.0,2.9,0.0,0.0,0.0,8,0.3,36,510,82,1.09
F009363,18104,"Veal, boneless dice or strips, untrimmed, raw",508,25.0,2.2,0.0,0.0,0.0,6,0.3,25,371,50,0.85
F009364,18104,"Veal, boneless dice or strips, untrimmed, stir-fried, no added fat",651,30.7,3.5,0.0,0.0,0.0,8,0.3,35,503,81,1.40
F009369,18104,"Veal, cutlet, with bone, lean, grilled, no added fat",552,28.1,2.0,0.0,0.0,0.0,6,0.3,20,300,46,0.84
F009370,18104,"Veal, cutlet, with bone, lean, raw",459,24.6,1.1,0.0,0.0,0.0,8,0.3,23,330,45,0.40
F009371,18104,"Veal, cutlet, with bone, semi-trimmed, grilled, no added fat",625,27.6,4.2,0.0,0.0,0.0,6,0.3,19,290,45,2.01
F009372,18104,"Veal, cutlet, with bone, semi-trimmed, raw",512,24.3,2.7,0.0,0.0,0.0,8,0.3,22,320,44,1.17
F009373,18104,"Veal, cutlet, with bone, untrimmed, grilled, no added fat",632,27.5,4.4,0.0,0.0,0.0,6,0.3,19,289,45,2.12
F009374,18104,"Veal, cutlet, with bone, untrimmed, raw",523,24.2,3.0,0.0,0.0,0.0,8,0.3,22,318,44,1.32
F009379,18104,"Veal, diced, lean, raw",448,23.1,1.5,0.0,0.0,0.0,6,0.3,22,330,46,0.52
F009380,18104,"Veal, diced, lean, stir-fried, no added fat",653,31.9,3.0,0.0,0.0,0.0,8,0.3,34,490,85,1.13
F009381,18104,"Veal, diced, untrimmed, raw",466,23.0,2.0,0.0,0.0,0.0,6,0.3,22,327,46,0.77
F009382,18104,"Veal, diced, untrimmed, stir-fried, no added fat",679,31.6,3.8,0.0,0.0,0.0,8,0.3,33,481,84,1.58
F009432,18104,"Veal, steak, boneless, leg, lean, grilled, no added fat",655,34.4,1.9,0.0,0.0,0.0,6,0.3,28,380,49,0.53
F009433,18104,"Veal, steak, boneless, leg, lean, raw",470,24.4,1.5,0.0,0.0,0.0,6,0.3,31,366,56,0.44
F009434,18104,"Veal, steak, boneless, leg, untrimmed, grilled, no added fat",675,34.1,2.6,0.0,0.0,0.0,6,0.3,28,375,49,0.89
F009435,18104,"Veal, steak, boneless, leg, untrimmed, raw",482,24.3,1.8,0.0,0.0,0.0,6,0.3,31,363,56,0.61
F009438,18104,"Veal, stir-fry strips, lean, raw",536,27.2,2.0,0.0,0.0,0.0,7,0.3,28,420,56,0.70
F009439,18104,"Veal, stir-fry strips, lean, stir-fried, no added fat",614,30.0,2.8,0.0,0.0,0.0,8,0.3,37,530,79,1.06
F009440,18104,"Veal, stir-fry strips, untrimmed, raw",551,27.1,2.5,0.0,0.0,0.0,7,0.3,28,416,55,0.93
F009441,18104,"Veal, stir-fry strips, untrimmed, stir-fried, no added fat",623,29.9,3.1,0.0,0.0,0.0,8,0.3,37,526,78,1.22
F009836,24102,"Vegetable crisps or chips, sweet potato & taro, flavoured",2051,3.0,31.1,6.3,12.4,47.7,82,12.0,51,770,440,10.14
F009491,24401,"Vine leaf, grape, canned",254,4.3,2.0,9.9,1.8,1.8,289,6.6,14,29,2853,0.36
F009498,23305,Vinegar (except balsamic vinegar),65,0.0,0.0,0.0,0.0,0.0,1,0.2,1,6,5,0.00
F009514,24801,"Water chestnut, peeled, canned, drained",218,0.6,0.9,2.7,5.1,9.3,3,0.7,4,100,10,0.27
F009516,11702,"Water, bottled, still",0,0.0,0.0,0.0,0.0,0.0,1,0.2,5,0,1,0.00
F009794,22203,"Water, coconut, commercial",54,0.2,0.0,0.0,3.2,3.2,12,0.0,9,200,36,0.00
F008377,11702,"Water, soda",0,0.0,0.0,0.0,0.0,0.0,2,0.7,1,0,3,0.00
F009527,11701,"Water, tap",0,0.0,0.0,0.0,0.0,0.0,2,0.7,1,0,3,0.00
F009532,24401,"Watercress, raw",110,2.9,0.4,3.8,0.7,0.8,85,0.0,23,570,48,0.00
F009533,22101,"Wattle seed (acacia), ground",1183,20.3,6.1,54.2,0.0,10.5,419,0.0,243,974,102,0.84
F009534,16503,"Wax jambu, raw",109,0.7,0.2,1.9,4.5,4.5,13,0.0,5,38,1,0.00
F009535,12101,"Wheat bran, unprocessed, uncooked",1119,14.8,4.1,41.8,2.7,22.6,75,17.0,450,1200,6,0.66
F009536,12101,Wheat germ,1285,20.6,6.1,20.1,7.4,32.7,64,3.9,270,910,4,1.08
F009537,12101,"Wheat, whole, uncooked",1362,11.2,2.4,11.4,1.3,58.3,35,3.0,120,315,2,0.36
F009557,15101,"Whiting, King George, flesh, baked, no added fat",517,28.2,1.0,0.0,0.0,0.0,53,13.6,40,504,100,0.26
F009560,15101,"Whiting, King George, flesh, raw",362,19.8,0.7,0.0,0.0,0.0,37,10.0,28,353,70,0.18
F009561,15101,"Whiting, King George, flesh, steamed, no added fat",437,23.3,1.1,0.0,0.0,0.0,19,0.0,29,332,69,0.28
F009566,29203,"Wine, fortified, port",600,0.2,0.0,0.0,12.4,12.4,5,0.0,10,82,15,0.00
F009567,29203,"Wine, fortified, sherry, dry style (approximately 1% sugars)",435,0.1,0.0,0.0,1.2,1.2,5,0.0,6,39,19,0.00
F009568,29203,"Wine, fortified, sherry, sweet style (approximately 11% sugars)",577,0.2,0.0,0.0,11.1,11.1,4,0.0,6,53,18,0.00
F009571,29201,"Wine, red",335,0.2,0.0,0.0,0.2,0.2,7,1.8,14,111,5,0.00
F009572,29201,"Wine, red, cabernet sauvignon",332,0.3,0.0,0.0,0.2,0.2,7,1.7,13,117,4,0.00
F009573,29201,"Wine, red, cooked",120,0.3,0.0,0.0,0.2,0.2,8,1.5,15,113,5,0.00
F009574,29201,"Wine, red, merlot",330,0.3,0.0,0.0,0.4,0.4,7,1.5,12,91,5,0.00
F009575,29201,"Wine, red, pinot noir",321,0.2,0.0,0.0,0.2,0.2,7,0.0,16,91,2,0.00
F009577,29201,"Wine, red, shiraz",342,0.2,0.0,0.0,0.2,0.2,6,2.2,15,115,7,0.00
F009578,29201,"Wine, red, sparkling",338,0.2,0.0,0.0,2.0,2.0,6,2.2,15,117,7,0.00
F009579,29201,"Wine, rose",289,0.2,0.0,0.0,0.7,0.7,8,2.0,11,51,5,0.00
F009581,29202,"Wine, white",301,0.3,0.0,0.0,0.2,0.2,8,0.1,10,53,4,0.00
F009582,29202,"Wine, white, chardonnay",310,0.3,0.0,0.0,0.3,0.3,7,0.0,11,52,4,0.00
F009580,29202,"Wine, white, cooked",107,0.2,0.0,0.0,0.3,0.3,9,0.4,12,56,5,0.00
F009586,29202,"Wine, white, riesling",292,0.2,0.0,0.0,0.4,0.4,10,1.5,20,44,7,0.00
F009583,29202,"Wine, white, sauvignon blanc",296,0.2,0.0,0.0,0.1,0.1,8,0.0,8,56,2,0.00
F009584,29202,"Wine, white, semillon",270,0.2,0.0,0.0,0.2,0.2,9,0.0,8,57,6,0.00
F009590,29202,"Wine, white, sparkling",306,0.2,0.0,0.0,1.0,1.0,7,0.0,9,35,2,0.00
F009592,29202,"Wine, white, sweet dessert style",497,0.4,0.0,0.0,14.7,14.7,15,1.8,19,101,13,0.00
F009604,24001,"Yam, wild harvested, cooked",448,3.2,0.3,3.5,0.5,20.9,3,0.0,14,309,4,0.00
F009606,31101,"Yeast, dry powder",1126,36.4,5.0,26.9,0.0,6.3,18,5.5,95,1470,170,0.75
F009797,20,"Yoghurt, almond based, flavoured",384,2.6,4.5,1.8,5.5,9.2,34,1.3,30,82,5,0.41
F009608,19205,"Yoghurt, apricot pieces or flavoured, regular fat (3% fat)",386,4.2,3.2,0.1,11.1,11.1,110,16.7,14,220,65,2.03
F009798,20,"Yoghurt, coconut based, flavoured",519,1.1,9.0,1.3,4.7,9.2,3,1.6,16,140,18,8.07
F009811,19204,"Yoghurt, flavoured, high fat (approx 5%)",483,4.4,4.9,0.6,12.5,12.9,150,26.0,13,190,47,3.32
F009809,19209,"Yoghurt, flavoured, low fat (0.2%), intense sweetened, increased protein",227,9.6,0.3,0.4,1.6,2.3,110,23.0,10,140,35,0.20
F009810,19207,"Yoghurt, flavoured, low fat (approx 2%)",341,4.6,1.3,0.3,11.3,12.2,160,27.0,14,210,60,0.89
F009694,19201,"Yoghurt, natural, regular fat (3% fat)",306,5.1,3.2,0.1,4.9,5.0,175,24.0,16,230,58,2.17
F009738,20501,"Yoghurt, soy based, berry flavoured, regular fat (3% fat)",416,3.6,3.7,0.2,8.4,12.6,120,2.3,7,55,55,0.49
F009739,20502,"Yoghurt, soy based, vanilla flavoured, reduced fat (1% fat)",309,3.6,0.8,0.2,8.4,12.6,120,2.3,7,55,55,0.10
F009741,19205,"Yoghurt, strawberry pieces or flavoured, regular fat (3% fat)",405,4.9,3.1,0.1,11.6,11.6,159,19.6,15,213,60,2.00
F009749,19205,"Yoghurt, vanilla flavoured, (2% fat)",408,5.0,1.9,0.2,13.5,14.5,170,25.0,15,230,52,1.28
F009752,19208,"Yoghurt, vanilla flavoured, low fat (less than 0.5% fat)",368,5.9,0.5,0.2,12.7,13.9,168,17.0,17,242,66,0.34
F009764,24702,"Zucchini, golden, fresh, unpeeled, boiled, drained",93,2.6,0.4,1.2,1.3,1.3,18,0.0,11,246,1,0.00
F009765,24702,"Zucchini, golden, fresh, unpeeled, fried, no added fat",111,3.1,0.4,1.4,1.6,1.6,23,0.0,14,328,1,0.00
F009766,24702,"Zucchini, golden, fresh, unpeeled, raw",78,2.2,0.3,1.0,1.1,1.1,16,0.0,10,230,1,0.00
F009773,24702,"Zucchini, green skin, fresh, unpeeled, boiled, drained",77,1.1,0.4,1.3,2.0,2.0,20,0.0,18,201,1,0.00
F009774,24702,"Zucchini, green skin, fresh, unpeeled, fried, no added fat",92,1.3,0.4,1.6,2.4,2.4,25,0.0,23,268,1,0.00
F009775,24702,"Zucchini, green skin, fresh, unpeeled, raw",65,0.9,0.3,1.1,1.7,1.7,18,0.0,16,188,1,0.00
