publicFoodKey,classification,foodName,energy,protein,fatTotal,totalDietaryFibre,totalSugars,carbohydrates,calcium,iodine,magnesium,potassium,sodium,saturatedFat
F007606,24302,"Radish, red skinned, unpeeled, raw",62,0.8,0.2,1.1,1.9,1.9,25,0.0,9,180,20,0.00
F007608,24302,"Radish, white skinned, peeled, raw",86,0.7,0.3,1.8,2.9,2.9,30,0.0,13,210,28,0.00
F007610,16801,Raisin,1226,3.2,0.5,4.9,66.9,68.7,53,1.2,35,680,10,0.20
F007612,16504,"Rambutan, raw",312,1.0,0.4,2.8,15.7,15.7,8,0.0,10,140,2,0.00
F007614,16202,"Raspberry, canned in syrup",315,0.6,0.1,2.5,16.8,17.0,10,0.0,9,78,5,0.00
F007615,16202,"Raspberry, canned in syrup, drained",343,1.0,0.2,6.0,15.9,16.2,18,0.0,12,77,6,0.00
F007616,16202,"Raspberry, canned in syrup, syrup only",296,0.2,0.0,0.0,17.5,17.5,5,0.0,7,78,4,0.00
F007618,16201,"Raspberry, purchased frozen",204,1.1,0.2,5.6,6.5,6.8,24,0.0,20,141,1,0.00
F007619,16201,"Raspberry, raw",204,1.1,0.2,5.6,6.5,6.8,26,0.0,20,156,1,0.00
F007628,16601,"Rhubarb, stalk, raw",94,1.5,0.2,2.2,1.7,1.7,26,0.0,10,130,12,0.00
F007632,20106,"Rice beverage, fluid, added calcium",255,0.3,1.0,0.0,3.7,12.7,70,5.1,10,22,62,0.16
F007639,12103,"Rice paper wrapper, soaked in water",646,3.3,0.9,1.0,0.2,32.2,4,5.4,32,65,766,0.15
F007641,12102,"Rice, brown, boiled, no added salt",693,4.1,1.1,1.7,0.3,33.5,7,9.8,72,110,2,0.23
F007648,12102,"Rice, brown, uncooked",1452,7.6,3.1,3.5,1.1,69.1,7,20.4,119,230,2,0.51
F007661,12102,"Rice, white, boiled or rice cooker, no added salt",659,3.1,0.2,0.8,0.1,34.7,2,2.6,4,25,0,0.04
F007666,13511,"Rice, white, fried with bacon or ham, egg, prawns & vegetables",920,5.7,8.5,1.0,0.4,29.5,10,7.0,10,36,500,3.39
F007678,12102,"Rice, white, purchased as 'instant', microwaved",643,3.4,0.6,1.0,0.0,32.5,2,2.5,4,19,21,0.16
F007682,12102,"Rice, white, uncooked",1422,7.0,0.9,0.8,0.0,74.0,4,0.0,20,58,1,0.17
F007683,12101,"Rice, wild, boiled, no added salt",426,4.0,0.3,1.8,0.7,19.5,3,2.5,32,101,3,0.04
F007684,12101,"Rice, wild, uncooked",1505,14.7,1.1,6.2,2.5,68.7,21,0.0,177,427,7,0.14
F007712,24401,"Rocket, fresh, raw",91,3.3,0.3,2.4,0.3,0.3,214,5.5,51,351,47,0.00
F007715,31302,"Rosemary, dried",1314,4.9,15.2,42.6,19.6,20.4,1280,2.3,220,955,50,7.05
F007716,24403,"Rosemary, fresh, raw",396,3.3,5.9,14.1,0.4,0.6,317,6.6,91,668,26,2.72
